ID,ladoMSANLEFT,ladoMSANRIGHT,ladocabeceraLEFT,ladocabeceraRIGHT,"Nombre del cable",Filamento
151,"CP 6413592 FIL 28
FCA O091F SPL-4","MSAN 8419-CCRO 1-1-12","MSAN 8419-CCRO 1-1-12
FCA O091F SPL-4","CP 6413592 FIL 28",6413592,28
152,"FOT Troncal N/S CCRO FIL 10
FCA O080F SPL-4","MSAN 8419-CCRO 1-1-13","MSAN 8419-CCRO 1-1-13
FCA O080F SPL-4","FOT Troncal N/S CCRO FIL 10","Troncal N/S CCRO",10
153,"FOT Troncal N/S CCRO FIL 11
FCA O114F SPL-1","MSAN 8419-CCRO 1-1-14","MSAN 8419-CCRO 1-1-14
FCA O114F SPL-1","FOT Troncal N/S CCRO FIL 11","Troncal N/S CCRO",11
154,"FOT 6413515 FIL 19
FCA O075F SPL-1","MSAN 8420-HLLN 1-1-1","MSAN 8420-HLLN 1-1-1
FCA O075F SPL-1","FOT 6413515 FIL 19",6413515,19
155,"FOT 6413515 FIL 20
FCA O075F SPL-2","MSAN 8420-HLLN 1-1-2","MSAN 8420-HLLN 1-1-2
FCA O075F SPL-2","FOT 6413515 FIL 20",6413515,20
156,"FOT 6413515 FIL 21
FCA O075F SPL-3","MSAN 8420-HLLN 1-1-3","MSAN 8420-HLLN 1-1-3
FCA O075F SPL-3","FOT 6413515 FIL 21",6413515,21
157,"FOT 6413515 FIL 22
FCA O075F SPL-4","MSAN 8420-HLLN 1-1-4","MSAN 8420-HLLN 1-1-4
FCA O075F SPL-4","FOT 6413515 FIL 22",6413515,22
158,"FOT 6413515 FIL 23
FCA O075F SPL-5","MSAN 8420-HLLN 1-1-5","MSAN 8420-HLLN 1-1-5
FCA O075F SPL-5","FOT 6413515 FIL 23",6413515,23
163,"CP 6413122 FIL 123
FCA RA06F SPL-3","MSAN 9489-RAHU 1-1-1","MSAN 9489-RAHU 1-1-1
FCA RA06F SPL-3","CP 6413122 FIL 123",6413122,123
164,"CP 6413122 FIL 8
FCA POSRF SPL-8","MSAN 9489-RAHU 1-1-2","MSAN 9489-RAHU 1-1-2
FCA POSRF SPL-8","CP 6413122 FIL 8",6413122,8
165,"CP 6413122 FIL 52
FCA BCLNF SPL-4","MSAN 9489-RAHU 1-1-3","MSAN 9489-RAHU 1-1-3
FCA BCLNF SPL-4","CP 6413122 FIL 52",6413122,52
166,"CP 6413120 FIL 76
FCA AZPAF SPL-3","MSAN 9489-RAHU 1-1-4","MSAN 9489-RAHU 1-1-4
FCA AZPAF SPL-3","CP 6413120 FIL 76",6413120,76
167,"CP 6413120 FIL 5
FCA FRFSF SPL-5","MSAN 9489-RAHU 1-2-1","MSAN 9489-RAHU 1-2-1
FCA FRFSF SPL-5","CP 6413120 FIL 5",6413120,5
168,"CP 6413121 FIL 52
FCA RA01F SPL-4","MSAN 9489-RAHU 1-2-2","MSAN 9489-RAHU 1-2-2
FCA RA01F SPL-4","CP 6413121 FIL 52",6413121,52
169,"CP 6413121 FIL 124
FCA RA11F SPL-4","MSAN 9489-RAHU 1-2-4","MSAN 9489-RAHU 1-2-4
FCA RA11F SPL-4","CP 6413121 FIL 124",6413121,124
170,"CP 6413122 FIL 121
FCA RA06F SPL-1","MSAN 9489-RAHU 1-3-1","MSAN 9489-RAHU 1-3-1
FCA RA06F SPL-1","CP 6413122 FIL 121",6413122,121
171,"CP 6413122 FIL 26
FCA LMSNF SPL-2","MSAN 9489-RAHU 1-3-2","MSAN 9489-RAHU 1-3-2
FCA LMSNF SPL-2","CP 6413122 FIL 26",6413122,26
172,"CP 6413122 FIL 9
FCA POSRF SPL-9","MSAN 9489-RAHU 1-3-3","MSAN 9489-RAHU 1-3-3
FCA POSRF SPL-9","CP 6413122 FIL 9",6413122,9
173,"CP 6413064 FIL 47
FCA RA08F SPL-3","MSAN 9489-RAHU 1-3-4","MSAN 9489-RAHU 1-3-4
FCA RA08F SPL-3","CP 6413064 FIL 47",6413064,47
174,"CP 6413120 FIL 6
FCA FRSRF SPL-6","MSAN 9489-RAHU 1-4-1","MSAN 9489-RAHU 1-4-1
FCA FRSRF SPL-6","CP 6413120 FIL 6",6413120,6
175,"CP 6413122 FIL 28
FCA LMSNF SPL-4","MSAN 9489-RAHU 1-4-2","MSAN 9489-RAHU 1-4-2
FCA LMSNF SPL-4","CP 6413122 FIL 28",6413122,28
176,"CP 6413122 FIL 29
FCA LMSNF SPL-5","MSAN 9489-RAHU 1-4-3","MSAN 9489-RAHU 1-4-3
FCA LMSNF SPL-5","CP 6413122 FIL 29",6413122,29
177,"CP 6413120 FIL 9
FCA FRSRF SPL-9","MSAN 9489-RAHU 1-4-4","MSAN 9489-RAHU 1-4-4
FCA FRSRF SPL-9","CP 6413120 FIL 9",6413120,9
178,"CP 6413122 FIL 86
FCA RA12F SPL-107","MSAN 9489-RAHU 1-5-1","MSAN 9489-RAHU 1-5-1
FCA RA12F SPL-107","CP 6413122 FIL 86",6413122,86
179,"CP 6413121 FIL 99
FCA RA03F SPL-3","MSAN 9489-RAHU 1-5-2","MSAN 9489-RAHU 1-5-2
FCA RA03F SPL-3","CP 6413121 FIL 99",6413121,99
180,"CP 6413122 FIL 124
FCA RA06F SPL-4","MSAN 9489-RAHU 1-5-3","MSAN 9489-RAHU 1-5-3
FCA RA06F SPL-4","CP 6413122 FIL 124",6413122,124
181,"CP 6413122 FIL 30
FCA LMSNF SPL-6","MSAN 9489-RAHU 1-5-4","MSAN 9489-RAHU 1-5-4
FCA LMSNF SPL-6","CP 6413122 FIL 30",6413122,30
182,"CP 6413122 FIL 125
FCA RA06F SPL-5","MSAN 9489-RAHU 1-7-1","MSAN 9489-RAHU 1-7-1
FCA RA06F SPL-5","CP 6413122 FIL 125",6413122,125
183,"CP 6413121 FIL 53
FCA RA01F SPL-5","MSAN 9489-RAHU 1-7-2","MSAN 9489-RAHU 1-7-2
FCA RA01F SPL-5","CP 6413121 FIL 53",6413121,53
184,"CP 6413122 FIL 53
FCA BCLNF SPL-5","MSAN 9489-RAHU 1-7-3","MSAN 9489-RAHU 1-7-3
FCA BCLNF SPL-5","CP 6413122 FIL 53",6413122,53
185,"CP 6413122 FIL 31
FCA LMSNF SPL-7","MSAN 9489-RAHU 1-7-4","MSAN 9489-RAHU 1-7-4
FCA LMSNF SPL-7","CP 6413122 FIL 31",6413122,31
186,"CP 6413120 FIL 25
FCA JSOLF SPL-1","MSAN 9489-RAHU 1-8-1","MSAN 9489-RAHU 1-8-1
FCA JSOLF SPL-1","CP 6413120 FIL 25",6413120,25
187,"CP 6413270 FIL 78
FCA POS2F SPL-6","MSAN 9489-RAHU 1-8-2","MSAN 9489-RAHU 1-8-2
FCA POS2F SPL-6","CP 6413270 FIL 78",6413270,78
188,"CP 6413120 FIL 26
FCA JSOLF SPL-2","MSAN 9489-RAHU 1-8-3","MSAN 9489-RAHU 1-8-3
FCA JSOLF SPL-2","CP 6413120 FIL 26",6413120,26
189,"CP 6413122 FIL 138
FCA RA06F SPL-110","MSAN 9489-RAHU 1-8-4","MSAN 9489-RAHU 1-8-4
FCA RA06F SPL-110","CP 6413122 FIL 138",6413122,138
190,"CP 6413120 FIL 7
FCA FRSRF SPL-7","MSAN 9489-RAHU 1-9-1","MSAN 9489-RAHU 1-9-1
FCA FRSRF SPL-7","CP 6413120 FIL 7",6413120,7
191,"CP 6413064 FIL 48
FCA RA08F SPL-4","MSAN 9489-RAHU 1-9-2","MSAN 9489-RAHU 1-9-2
FCA RA08F SPL-4","CP 6413064 FIL 48",6413064,48
192,"CP 6413121 FIL 125
FCA RA11F SPL-5","MSAN 9489-RAHU 1-9-4","MSAN 9489-RAHU 1-9-4
FCA RA11F SPL-5","CP 6413121 FIL 125",6413121,125
193,"CP 6413120 FIL 27
FCA JSOLF SPL-3","MSAN 9489-RAHU 1-2-1","MSAN 9489-RAHU 1-2-1
FCA JSOLF SPL-3","CP 6413120 FIL 27",6413120,27
194,"CP 6413270 FIL 17
FCA VLATF SPL-5","MSAN 9489-RAHU 1-2-2","MSAN 9489-RAHU 1-2-2
FCA VLATF SPL-5","CP 6413270 FIL 17",6413270,17
195,"CE C/E STx-MDF FIL 1
FCA RAHUF SPL-1","MSAN 9489-RAHU 1-2-3","MSAN 9489-RAHU 1-2-3
FCA RAHUF SPL-1","CE C/E STx-MDF FIL 1","C/E STx-MDF",1
196,"CE C/E STx-MDF FIL 2
FCA RAHUF SPL-2","MSAN 9489-RAHU 1-2-4","MSAN 9489-RAHU 1-2-4
FCA RAHUF SPL-2","CE C/E STx-MDF FIL 2","C/E STx-MDF",2
197,"CP 6413120 FIL 110
FCA RA05F SPL-2","MSAN 9489-RAHU 1-3-1","MSAN 9489-RAHU 1-3-1
FCA RA05F SPL-2","CP 6413120 FIL 110",6413120,110
198,"CP 6413270 FIL 4
FCA VLPCF SPL-4","MSAN 9489-RAHU 1-3-2","MSAN 9489-RAHU 1-3-2
FCA VLPCF SPL-4","CP 6413270 FIL 4",6413270,4
199,"CP 6413121 FIL 100
FCA RA03F SPL-4","MSAN 9489-RAHU 1-3-3","MSAN 9489-RAHU 1-3-3
FCA RA03F SPL-4","CP 6413121 FIL 100",6413121,100
200,"CP 6413270 FIL 18
FCA VLATF SPL-6","MSAN 9489-RAHU 1-3-4","MSAN 9489-RAHU 1-3-4
FCA VLATF SPL-6","CP 6413270 FIL 18",6413270,18
201,"CP 6413120 FIL 77
FCA AZPAF SPL-4","MSAN 9489-RAHU 1-4-1","MSAN 9489-RAHU 1-4-1
FCA AZPAF SPL-4","CP 6413120 FIL 77",6413120,77
202,"CP 6413122 FIL 54
FCA BCLNF SPL-6","MSAN 9489-RAHU 1-4-2","MSAN 9489-RAHU 1-4-2
FCA BCLNF SPL-6","CP 6413122 FIL 54",6413122,54
203,"CP 6413064 FIL 114
FCA RA10F SPL-6","MSAN 9489-RAHU 1-4-3","MSAN 9489-RAHU 1-4-3
FCA RA10F SPL-6","CP 6413064 FIL 114",6413064,114
204,"CP 6413121 FIL 126
FCA RA11F SPL-6","MSAN 9489-RAHU 1-4-4","MSAN 9489-RAHU 1-4-4
FCA RA11F SPL-6","CP 6413121 FIL 126",6413121,126
